"id","catalog_no","title","author_name","published_year","pages","language","status","source","category1","category2"
"2006","V0050","සුජනප්පමොදිනි - විනය පාළි ගාථා අර්ථ ව්‍යාඛ්‍යාව","වටද්දර මේධානන්ද හිමි","1929-01-01",222,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
"2007","V0051","විනය පිටකය","හෙක්ටර් පෙරේරා","1975-01-01",70,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
"2008","V0052","විනය මහා සන්‍යය","විගොඩ ගුනාලංකාර හිමි","1973-01-01",622,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
"2010","V0054","විනිශ්චයාර්ත්ථදීපනී විනයවිනිශ්චය ව්යාඛ්යානය","ලංකාගොඩ ධීරානන්ද හිමි","1956-01-01",994,"Sinhala","Full","Na Uyana","විනය","භික්ෂු විනය"
"2011","V0055","කුදුසික","බේරුවල සුමේධංකර හිමි","1894-01-01",178,"Sinhala","partial","Path Nirwana","විනය","භික්ෂු විනය"
"2012","V0056","ශිල නිර්දේශය","ධර්මරත්න පඬිතුමා","1911-01-01",306,"Sinhala","Full","Daham Madura","විනය","භික්ෂු විනය"
"2013","V0057","සංවර සීල දීපනිය","පල්ලේගම රත්නාලංකාර හිමි","1938-01-01",112,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
"2015","V0059","සාරාර්‍ථ මඤ්ජරි නම් වූ විනය ගැටපදය","වරාගොඩ අමරමෝලි හිමි","1946-01-01",242,"Sinhala","partial","Na Uyana","විනය","භික්ෂු විනය"
"2016","V0060","සාමණේර බණ දහම් පොත","කල්‍යාණී යෝගාශ්‍රම","1987-01-01",60,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
"2018","A0067","අභිධර්ම මාර්ගය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,356,"Sinhala","Full","Path Nirwana","අභිධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2019","A0068","අභිධර්මයේ මූලික කරුණු","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,213,"Sinhala","Full","Path Nirwana","අභිධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2020","A0069","අභිධර්මාර්ථ සංග්‍රහය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,153,"Sinhala","Full","Path Nirwana","අභිධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2022","V0063","උපසම්පදා ශීලය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","විනය","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2023","V0064","උභය ප්‍රාතිමෝක්‍ෂය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","විනය","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2024","C0001","කෙලෙස් එක්දහස් පන්සියය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2025","C0002","චත්තාළීසාකාර මහා විපස්සනා භාවනාව","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2026","C0003","චතුරාර්‍ය්‍ය සත්‍යය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2027","C0004","ධර්‍ම විනිශ්චය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2028","C0005","නිර්වාණ විනිශ්චය හා පුනුරුප්පත්ති ක්‍රමය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2029","A0070","පට්ඨාන මහා පකරණ සන්නය 01","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,402,"Sinhala","Full","Path Nirwana","අභිධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2030","C0006","පටිච්චසමුප්පාද විවරණය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2031","C0007","පාරමිතා ප්‍ර‍කරණය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2568","V0136","සතර පාරාජිකා විනිශ්චය",NULL,"1897-01-01",25,"Sinhala","Full","Paramaththa","විනය","භික්ෂු විනය"
"2032","C0008","පුණ්‍යෝපදේශය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2033","C0009","පොහොය දිනය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2034","C0010","බුද්ධ නීති සංග්‍ර‍හය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2035","C0011","බෝධි පූජාව","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2036","C0012","බෝධිපාක්ෂික ධර්ම විස්තරය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2037","C0013","බෞද්ධයාගේ අත්පොත","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2038","C0014","මංගල ධර්ම විස්තරය - ගොඩිගමුවේ සෝරත හිමි","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2039","C0015","වඤ්චක ධර්ම හා චිත්තෝපක්ලේශ ධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2040","C0016","විදර්ශනා භාවනා ක්‍රමය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2041","V0065","විනය කර්ම පොත","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","විනය","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2042","V0066","ශාසනාවතරණය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","විනය","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2043","C0017","සතිපට්ඨාන භාවනා ක්‍ර‍මය (බුරුමයේ)","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2044","C0018","සතිපට්ඨාන භාවනා විවේචනය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2045","C0019","සූවිසි මහ ගුණය","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2046","RG0026","සුභාෂිතය","අලගියවන්න මුකවෙටිතුමා",NULL,NULL,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සිංහල සාහිත්‍ය"
"2047","RG0027","සුභාෂිතය","අලගියවන්න මුකවෙටිතුමා",NULL,NULL,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සිංහල සාහිත්‍ය"
"2048","RA0005","අටුවා කතාවස්තු","පොල්වත්තේ බුද්ධදත්ත හිමි","1951-01-01",80,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2049","V0067","අරුණ හා අරුණෝද්ගමන විනිශ්චය.","ග්‍රීසියේ ඤාණදස්සන හිමි",NULL,121,"Sinhala","Full","Path Nirwana","විනය","වෙනත්"
"2050","S0076","දම්පියා අටුවා ගැටපදය","ඩී. බී. ජයතිලක","1932-01-01",330,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2051","S0077","දම්පියා අටුවා ගැටපදය","දොඩම්පහල සුමංගල හිමි","1891-01-01",99,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2054","S0079","ආර්යවංශ ධර්ම පුස්තක මාලා 1","මොරටුවේ සාසනරතන හිමි","1948-01-01",142,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2055","S0079","ආර්යවංශ ධර්ම පුස්තක මාලා 2","මොරටුවේ සාසනරතන හිමි","1948-01-01",194,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2056","S0079","ආර්යවංශ ධර්ම පුස්තක මාලා 3","මොරටුවේ සාසනරතන හිමි","1948-01-01",176,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2057","S0079","ආර්යවංශ ධර්ම පුස්තක මාලා 4","මොරටුවේ සාසනරතන හිමි","1948-01-01",180,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2058","S0080","ඉතිවුත්තක පාලිය","කිරිවත්තුඩුවේ ධර්මකීර්ති හිමි","1961-01-01",432,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2059","B0010","තෙලකටාහගාථා 01","බි එස් පියසේන","2010-01-01",27,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2060","RA0006","ථෙරවාදී බෞද්ධාචාර්ය්‍යයෝ","පොල්වත්තේ බුද්ධදත්ත හිමි","1960-01-01",230,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2062","RK0002","දේශීය වෛද්‍ය ශබ්දකෝෂය","කිරිඇල්ලේ ඤාණවිමල හිමි","1959-01-01",563,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සුචි; ශබ්ධකෝෂ;"
"2063","RK0003","අමර ශබ්ධාවලි; සංස්කෘත සිංහල ශබ්දකෝෂය","ඤාණවිමල හිමි","1022-01-01",123,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සුචි; ශබ්ධකෝෂ;"
"2064","S0081","ධර්මපද ප්‍රදීපය","වම්බටුවැවේ ධර්මකීර්ති හිමි","1962-01-01",365,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2065","A0070","පට්ඨාන මහා පකරණ සන්නය 02","රේරුකානේ චන්ද්‍රවිමල හිමි",NULL,337,"Sinhala","Full","Path Nirwana","අභිධර්ම","රේරුකානේ චන්ද්‍රවිමල හිමි"
"2066","A0071","අභිධර්ම විභාගය","නිවන්දම ධර්මකීර්ති හිමි","2000-01-01",256,"Sinhala","Full","My Library","අභිධර්ම","අභිධර්ම"
"2067","A0072","බෞද්ධ ඤාණාලෝකය ධාතුමනසිකාර දීපනී","භදන්ත සිරිධම්ම හිමි","1916-01-01",106,"Sinhala","Full","Path Nirwana","අභිධර්ම","වෙනත්"
"2069","S0083","නෙත්තිප්‍රදීපය","රත්මලානේ ධර්මාරාම හිමි","1900-01-01",84,"Sinhala","Full","Paramaththa","සූත්‍ර","වෙනත්"
"2070","S0084","නෙත්තිසාරාර්ත්ථදීපනී නම් නෙත්ති ව්‍යඛ්‍යාව","කෝදාගොඩ උපසේන හිමි","1933-01-01",295,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2071","RA0007","පංචමහාවාදය","මොහොට්ටිවත්තේ ගුණානන්ද හිමි",NULL,361,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2072","A0073","පටිච්චසමුප්පාදය","දම්පැල්ලේ ගුණසිරි හිමි","1956-01-01",47,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"2073","A0074","පටිච්චසමුප්පාදය සිංහල භාවය - Part 05","වලානේ ශ්‍රී විජයනන්ද හිමි","1938-01-01",35,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"2074","RG0028","පද්‍යාවබෝධිනී - සමන්තකූට වණ්ණනා ව්‍යාඛ්‍යා","රැකඩහේනේ චන්ද්‍රජෝති හිමි","1941-01-01",69,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සිංහල සාහිත්‍ය"
"2075","S0085","පපඤ්ච දීපිකා මජ්ඣිමනිකාය අට්ටකථා සිංහල","ලබුගම ලංකානන්ද හිමි","1936-01-01",810,"Sinhala","Full","Path Nirwana","සූත්‍ර","සිංහල අට්ටකථා"
"2076","RA0008","ප්‍රේතවස්තු වර්ණනාව",NULL,NULL,435,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2077","RA0009","පාලි සාහිත්‍යය","පොල්වත්තේ බුද්ධදත්ත හිමි","1962-01-01",559,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2078","RA0010","පිරුවානා පොත් වහන්සේ - 1",NULL,NULL,384,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2079","RA0011","පිරුවානා පොත් වහන්සේ - 2",NULL,NULL,432,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2080","RA0012","බුද්ධ ඇදහිල්ල","කිරිඇල්ලේ ඤාණවිමල හිමි","1983-01-01",455,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2081","S0086","බොජ්ඣංග ධර්ම විභාගය","මුරුන්දෙනියේ පඤ්ඤානන්ද හිමි","1914-01-01",82,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2082","RA0013","භාරතීය බෞද්ධාචාර්ය්‍යයෝ","පොල්වත්තේ බුද්ධදත්ත හිමි","1949-01-01",267,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2084","S0088","මනොරඤජනී නම් වූ මනොරථපූරණි අංගුත්තරනිකායට්ඨ කථා සිංහල අනුවාදය","ලබුගම ලංකානන්ද නාහිමි","1951-01-01",401,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2085","S0088","මනොරන්ජනී මනෝරථපූරණී භාවසන්නය","රයිගම ඉන්ද්‍රජෝති නා හිමි","1929-01-01",400,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2086","S0089","මහා සතිපට්ඨාන සූත්‍ර වර්ණනාව","ලබුගම ලංකානන්ද හිමි",NULL,197,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2087","RA0014","මාරවිජය - පංචමාර දමනය","දෙවිනුවර ඤාණවාස හිමි","1957-01-01",252,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2088",NULL,"හෙළදිව අභිදාන වත","සරණපාල හිමි","1917-01-01",55,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","වෙනත්"
"2178","S0125","උදානපාළි අටුවාව","BCC",NULL,NULL,"Sinhala","Full","Path Nirwana","සූත්‍ර","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2068","S0082","දීඝනිකාය ටීකා","හේනේගම කල්‍යාණසිරි හිමි","1967-01-01",831,"Pali","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2089","S0090","විමලාර්ත්ථවාහිනී මජ්ඣිම නිකාය ව්‍යාඛ්‍යාව පාලි සිංහල","කේ ශ්‍රී ධර්මකිර්ති ධම්මනන්ද හිමි","1927-01-01",944,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2091","S0092","මංගලතථදිපනි","සිරිමංගල හිමි","1927-01-01",862,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2092","S0093","සාමඤ්ඤඵල සූත්‍ර වර්ණනාව - ප්‍රතිපත්ති ශාසනය Part II",NULL,NULL,64,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත්"
"2094","RA0015","සිංහල විමානවස්තු ප්‍රකරණය","මාකෙහෙල්වල ධම්මනනද හිමි","1939-01-01",259,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2095","B0010","තෙලකටාහගාථා 02","යු පි ඒකනායක","1908-01-01",50,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2096","B0010","තෙලකටාහගාථා 03","සිරිසුමන හිමි","1900-01-01",94,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2098","S0095","නියාම දිපනිය","ලේදී සයාඩෝ හිමි/ අරංගල සිරිධම්ම හිමි","1918-01-01",63,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2099","B0012","සද්ධම්මොපායනය","ආනන්ද හිමි/ බටුවන්තුඩාවේ පඬිතුමා","1911-01-01",142,"Sinhala","Full","Na Uyana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2100","B0013","විශුද්ධි මාර්ගය 1 BCC","BCC",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2101","B0014","විශුද්ධි මාර්ගය 2BCC","BCC",NULL,NULL,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2102","S0096","සාරත්තදීපානි නම් අංගුත්තර නිකාය ව්‍යාඛ්‍යාව","වම්බටුවැවේ සිරිනිවාස හිමි","1937-01-01",574,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2103","S0097","අංගුත්තර නිකාය සන්නය - 1,2,3 Completed","වැල්මිල්ලේ ධර්මකීර්ත්ති හිමි","1938-01-01",488,"Sinhala","Full","Paramaththa","සූත්‍ර","සූත්‍ර"
"2104","S0098","පදාර්ථ විස්තරාර්ථ සහිත සංයුක්ත නිකාය නිදාන වර්ගය","නුගවෙල පඤ්ඤාජෝති හිමි","1939-01-01",88,"Sinhala","Full","Paramaththa","සූත්‍ර","සූත්‍ර"
"2105","S0099","මහා සතිපට්ටහන වර්ණනාව සන්නය 02","හරමිටිගලේ ධීරානන්ද හිමි","1898-01-01",64,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2106","RA0016","සද්ධම්ම සංගහ","ගම්මද්දේගොඩ පුඤ්ඤසාර හිමි/ ධම්මකිත්ති මහාසාමි","1989-01-01",252,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2107","S0099","මහා සතිපට්ටහන වර්ණනාව සන්නය 02","හරමිටිගලේ ධීරානන්ද හිමි","1916-01-01",641,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2108","S0099","මහා සතිපට්ටහන වර්ණනාව සන්නය 03 -වේදනානු -චිත්තානුපස්සනා","හරමිටිගලේ ධීරානන්ද හිමි","1951-01-01",288,"Sinhala","Full","Na Uyana","සූත්‍ර","සූත්‍ර"
"2109","S0100","සුත්‍ර සංග්‍රහව","වස්කඩුවේ මෙධාවිතිස්ස හිමි","1935-01-01",536,"Sinhala","Full","Na Uyana","සූත්‍ර","සූත්‍ර"
"2110","S0101","සද්ධර්මසාගර ධර්මපදවර්ණනාව 1","අම්බලන්ගොඩ ධම්මකුසල හිමි","1967-01-01",1042,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2111","S0102","සද්ධර්මසාගර ධර්මපදවර්ණනාව 2","අම්බලන්ගොඩ ධම්මකුසල හිමි","1967-01-01",959,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2112","S0103","සද්ධර්මසාගර ධර්මපදවර්ණනාව 3","අම්බලන්ගොඩ ධම්මකුසල හිමි","1967-01-01",763,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2113","B0015","සන්න සහිත ජාතිදුක්ඛ විභාගය හෙවත් කාය විරති ගාථා","කේ ඤාණරතන තිස්ස හිමි","1914-01-01",78,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2115","RC0014","ථූපවංශය පාළි","ධම්මරතන හිමි",NULL,NULL,"Sinhala","Full","National Library","ඉපැරණි ග්‍රන්ථ","වංශ කථා හා ඉතිහාසය"
"2116","RA0017","සිතුවම් සහිත ධම්මපදය","වේරගොඩ සාරද හිමි",NULL,434,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2117","B0015","සන්න සහිත ජාතිදුක්ඛ විභාගය හෙවත් කාය විරති ගාථා",NULL,NULL,82,"Sinhala","Full","Path Nirwana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ධර්ම සංග්‍රහ ග්‍රන්ථ"
"2120","RA0018","කර්ම විභාගය","මැදඋයන්ගොඩ විමලකීර්ති හිමි","1961-01-01",124,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","පැරණි ධර්ම ග්‍රන්ථ"
"2121","S0104","පපණ්‍චසූදනී මජ්ඣිමනිකාය 01","අට්ටකථා පාලි - අළුවිහාර","1917-01-01",584,"Sinhala","Full","Path Nirwana","සූත්‍ර","සූත්‍ර"
"2125","S0106","ඛුද්දකපාඨ පාලි සිංහල","බොද්‍ධ සම්මේලනය","1965-01-01",118,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත් ත්‍රිපිටක"
"2126","S0107","දීඝනිකාය 1 පාලි සිංහල","පලන්නොරුවේ විමලධම්ම හිමි","1952-01-01",1165,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත් ත්‍රිපිටක"
"2127","S0108","දීඝනිකාය 2 පාලි සිංහල","පලන්නොරුවේ විමලධම්ම හිමි","1952-01-01",606,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත් ත්‍රිපිටක"
"2128","S0109","දීඝනිකාය මහාවර්‍ගය පාලි සිංහල","ඩබ්. ඒ සමරසේකර / බොද්‍ධ සම්මේලනය","1905-01-01",717,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත් ත්‍රිපිටක"
"2129","S0110","දීඝනිකාය ශීලස්කන්‍ධවර්‍ගය පාලි සිංහල","ඩබ්. ඒ සමරසේකර / බොද්‍ධ සම්මේලනය","1905-01-01",559,"Sinhala","Full","Path Nirwana","සූත්‍ර","වෙනත් ත්‍රිපිටක"
"2136","S0111","කරණීයමෙත්ත සූත්‍ර වර්ණනාව","වල්පිට සිරි සුමනතිස්ස හිමි","1926-01-01",22,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2137","S0112","උපෞෂත ශිලවිභාවිනිය","රත්මලානේ සරණතිස්ස හිමි",NULL,36,"Sinhala","Full","Na Uyana","සූත්‍ර","වෙනත්"
"2142","V0071","උදකුක්ඛේපසිමා විභාවිනි","නාවල ධම්මානන්ද හිමි","2011-01-01",51,"Sinhala","Full",NULL,"විනය","භික්ෂු විනය"
"2143","V0072","පුතිමුත්තභේසජ්ජ","උඩිරියගම ධම්මජිව හිමි","2006-01-01",75,"Sinhala","Full",NULL,"විනය","භික්ෂු විනය"
"2144","V0073","විනයාලංකාරෝ",NULL,NULL,NULL,"Sinhala","Full",NULL,"විනය","භික්ෂු විනය"
"2145","V0074","සමන්ත පාසාදිකා 01","BCC - අම්බලන්ගොඩ කුසලධම්ම නා හිමි","1999-01-01",520,"Sinhala","Full","Path Nirwana","විනය","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2146","V0075","සමන්ත පාසාදිකා 02","BCC - අම්බලන්ගොඩ කුසලධම්ම නා හිමි","1999-01-01",NULL,"Sinhala","Full","Path Nirwana","විනය","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2179","S0126","ඛුද්දකපාඨපාළි අටුවාව","BCC",NULL,NULL,"Sinhala","Full","Path Nirwana","සූත්‍ර","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2147","V0076","සමන්ත පාසාදිකා 03","BCC - අම්බලන්ගොඩ කුසලධම්ම නා හිමි","1999-01-01",NULL,"Sinhala","Full","Path Nirwana","විනය","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2154","V0083","කංඛාවිතරණි ප්‍රාතිමෝක්ෂ වර්ණනාව","BCC- කපිල අභයවංශ","1999-01-01",312,"Sinhala","Full","Path Nirwana","විනය","බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය"
"2161","RK0004","ශබ්දාර්‍ත්‍ථරත්නාකරය සිංහල අකාරාදිය","බෝරුග්ගමුවේ රේවත හිමි","1916-01-01",706,"Sinhala","Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","සුචි; ශබ්ධකෝෂ;"
"2162","V0087","චරියා සහ වත් - යෝගාශ්රමය","කල්‍යාණී යෝගාශ්‍රම","1952-01-01",13,"Sinhala","Full","Path Nirwana","විනය","භික්ෂු විනය"
